label,client_id
0,7503
0,529
1,2071
0,9499
1,25
1,4386
1,5254
1,4988
1,5066
1,7731
1,2243
1,3391
1,8779
1,5402
0,7355
0,6287
0,2627
1,7167
0,8913
0,971
0,2415
0,6889
0,1290
1,5630
0,1056
0,4524
1,6273
1,3701
0,7193
0,9835
1,6041
0,3533
0,985
0,9009
0,1264
1,4716
1,6425
1,2085
1,3157
0,1600
1,4372
0,1432
1,4140
0,5092
1,6617
1,3365
1,7158
0,172
1,7964
1,8110
1,340
0,8322
1,2618
0,724
0,9694
1,8746
1,5865
0,5059
0,2872
1,516
0,8574
1,6628
0,2288
1,9660
0,4943
1,5891
0,2886
0,3954
0,9452
0,3168
0,8580
0,4729
1,186
1,7990
0,9036
0,6842
0,9204
0,1069
1,1855
0,1435
0,4147
0,5095
0,6610
1,9658
1,3362
0,6422
0,2082
1,3150
0,1607
1,4375
0,7194
0,6046
1,9832
0,3534
1,982
1,1263
0,4711
0,1051
0,4523
1,6274
0,3706
0,8914
1,7160
0,976
0,8128
0,2412
1,1297
1,5637
0,5405
1,1899
0,7352
1,378
0,6280
0,2620
1,5061
0,7736
1,2244
0,3396
1,3998
1,7504
1,2076
0,22
1,4381
1,5253
0,7399
0,3739
1,9203
0,1852
0,181
0,6079
0,7997
0,6845
1,9031
1,1638
1,5298
0,2881
0,3953
0,9455
1,8587
0,9667
1,4944
1,5896
0,4178
0,2875
1,511
0,2049
0,8573
1,7709
1,723
0,9693
1,8741
0,5862
0,347
1,8325
0,5608
1,175
1,949
1,8117
0,7963
0,1255
1,4727
0,6070
1,9804
1,188
1,9038
1,3502
1,6242
1,7390
0,3730
1,1067
1,4515
1,6626
1,3354
0,2286
1,1403
1,4171
0,1631
1,5291
1,4343
1,6414
1,2888
0,3166
1,7700
0,8748
0,2272
0,5057
1,4185
0,14
1,5265
0,518
1,7532
1,3192
0,2040
1,5601
0,6084
1,8922
0,7156
0,2424
0,940
1,7364
0,2616
0,1093
1,5433
0,3965
1,3159
0,9463
0,4972
0,6619
0,8783
0,9651
1,1058
1,1864
1,385
1,9235
0,6873
1,9007
0,4718
0,1890
1,6289
0,371
1,2629
1,8313
1,143
0,7169
1,6887
0,8121
0,7955
1,527
1,3991
0,2843
0,8545
0,9497
1,4388
0,5854
0,4986
0,5068
1,715
0,8777
0,349
0,7363
0,2611
1,1094
1,5434
1,5606
1,6083
0,7151
0,8925
0,2423
1,947
0,8119
0,13
